Symbol,Sector
MDLZ,Consumer Non-Durables
MNST,Consumer Non-Durables
MOV,Consumer Non-Durables
MYE,Consumer Non-Durables
NAKD,Consumer Non-Durables
FIZZ,Consumer Non-Durables
NLS,Consumer Non-Durables
NBEV,Consumer Non-Durables
NWL,Consumer Non-Durables
NKE,Consumer Non-Durables
NOMD,Consumer Non-Durables
SEED,Consumer Non-Durables
OXM,Consumer Non-Durables
PEP,Consumer Non-Durables
PFGC,Consumer Non-Durables
PERY,Consumer Non-Durables
PM,Consumer Non-Durables
PPC,Consumer Non-Durables
PF,Consumer Non-Durables
POPE,Consumer Non-Durables
POST,Consumer Non-Durables
PRMW,Consumer Non-Durables
PVH,Consumer Non-Durables
RADA,Consumer Non-Durables
RL,Consumer Non-Durables
RAND,Consumer Non-Durables
RAVE,Consumer Non-Durables
REED,Consumer Non-Durables
ABAC,Consumer Non-Durables
REV,Consumer Non-Durables
RIBT,Consumer Non-Durables
RIBTW,Consumer Non-Durables
RELL,Consumer Non-Durables
RCKY,Consumer Non-Durables
RMCF,Consumer Non-Durables
SANW,Consumer Non-Durables
SAFM,Consumer Non-Durables
SENEA,Consumer Non-Durables
SENEB,Consumer Non-Durables
SQBG,Consumer Non-Durables
TYHT,Consumer Non-Durables
SITE,Consumer Non-Durables
SKX,Consumer Non-Durables
SNE,Consumer Non-Durables
SPTN,Consumer Non-Durables
SHOO,Consumer Non-Durables
SGC,Consumer Non-Durables
SVU,Consumer Non-Durables
SYY,Consumer Non-Durables
TAIT,Consumer Non-Durables
TLF,Consumer Non-Durables
TPR,Consumer Non-Durables
PETZ,Consumer Non-Durables
TEL,Consumer Non-Durables
TESS,Consumer Non-Durables
CHEF,Consumer Non-Durables
HAIN,Consumer Non-Durables
KHC,Consumer Non-Durables
SMPL,Consumer Non-Durables
SMPLW,Consumer Non-Durables
THO,Consumer Non-Durables
TR,Consumer Non-Durables
THS,Consumer Non-Durables
THST,Consumer Non-Durables
TUP,Consumer Non-Durables
TPB,Consumer Non-Durables
TSN,Consumer Non-Durables
UA,Consumer Non-Durables
UAA,Consumer Non-Durables
UFI,Consumer Non-Durables
UNFI,Consumer Non-Durables
UG,Consumer Non-Durables
UEIC,Consumer Non-Durables
UUU,Consumer Non-Durables
USFD,Consumer Non-Durables
VFC,Consumer Non-Durables
VGR,Consumer Non-Durables
VRA,Consumer Non-Durables
VCO,Consumer Non-Durables
VSI,Consumer Non-Durables
VOXX,Consumer Non-Durables
WCC,Consumer Non-Durables
WEYS,Consumer Non-Durables
WVVI,Consumer Non-Durables
WVVIP,Consumer Non-Durables
WGO,Consumer Non-Durables
WWW,Consumer Non-Durables
FLWS,Consumer Services
WBAI,Consumer Services
AHC,Consumer Services
ANF,Consumer Services
AKR,Consumer Services
ATV,Consumer Services
AEY,Consumer Services
ADT,Consumer Services
ATGE,Consumer Services
AAP,Consumer Services
ACM,Consumer Services
AGNC,Consumer Services
AGNCB,Consumer Services
AGNCN,Consumer Services
ADC,Consumer Services
ALEX,Consumer Services
ALX,Consumer Services
ARE,Consumer Services
ALLE,Consumer Services
AMMA,Consumer Services
AOI,Consumer Services
ATUS,Consumer Services
ASPS,Consumer Services
AMZN,Consumer Services
AMC,Consumer Services
AMCX,Consumer Services
UHAL,Consumer Services
AAT,Consumer Services
ACC,Consumer Services
AEO,Consumer Services
AMH,Consumer Services
APEI,Consumer Services
AMT,Consumer Services
COLD,Consumer Services
APU,Consumer Services
AXR,Consumer Services
ANGI,Consumer Services
NLY,Consumer Services
ANH,Consumer Services
AIV,Consumer Services
ARI,Consumer Services
AMEH,Consumer Services
APLE,Consumer Services
ARCI,Consumer Services
APDN,Consumer Services
APDNW,Consumer Services
ARMK,Consumer Services
ABR,Consumer Services
ARC,Consumer Services
ARCO,Consumer Services
ACRE,Consumer Services
ARKR,Consumer Services
ARR,Consumer Services
ASNA,Consumer Services
ASCMA,Consumer Services
AHT,Consumer Services
AINC,Consumer Services
ASPN,Consumer Services
ASPU,Consumer Services
HOME,Consumer Services
ATAI,Consumer Services
AZO,Consumer Services
AVB,Consumer Services
CAR,Consumer Services
BCOM,Consumer Services
BZUN,Consumer Services
MPV,Consumer Services
BNED,Consumer Services
BKS,Consumer Services
BECN,Consumer Services
BBGI,Consumer Services
BBBY,Consumer Services
BEL,Consumer Services
BBY,Consumer Services
BGFV,Consumer Services
BIG,Consumer Services
BH,Consumer Services
BHTG,Consumer Services
BGI,Consumer Services
BJRI,Consumer Services
BLMN,Consumer Services
APRN,Consumer Services
BRG,Consumer Services
BMCH,Consumer Services
WIFI,Consumer Services
BCC,Consumer Services
BOJA,Consumer Services
BOOT,Consumer Services
BAH,Consumer Services
BXP,Consumer Services
BYD,Consumer Services
BDN,Consumer Services
BBRG,Consumer Services
BPI,Consumer Services
BEDU,Consumer Services
EAT,Consumer Services
BRX,Consumer Services
BAM,Consumer Services
BIP,Consumer Services
BRT,Consumer Services
BKE,Consumer Services
BBW,Consumer Services
BLDR,Consumer Services
BURL,Consumer Services
CABO,Consumer Services
CZR,Consumer Services
PRSS,Consumer Services
CALX,Consumer Services
ABCD,Consumer Services
CPT,Consumer Services
CNNE,Consumer Services
CPHC,Consumer Services
CPLA,Consumer Services
BXMT,Consumer Services
CMO,Consumer Services
CRCM,Consumer Services
CECO,Consumer Services
CTRE,Consumer Services
CCL,Consumer Services
CUK,Consumer Services
CSV,Consumer Services
TAST,Consumer Services
CTT           ,Consumer Services
CATO,Consumer Services
CBL,Consumer Services
CDW,Consumer Services
FUN,Consumer Services
CDR,Consumer Services
CETV,Consumer Services
CNTY,Consumer Services
GIB,Consumer Services
BURG,Consumer Services
CHTR,Consumer Services
CLDT,Consumer Services
CHGG,Consumer Services
CHMI,Consumer Services
CHSP,Consumer Services
